Publication Number,User Label,Publication Date,,Strength,Ultimate Parent
US4251561,application/confection,2/17/81,1981,60,"General Mills, Inc."
US4260637,application/confection,4/7/81,1981,60,"Mondelez International, Inc."
US4276319,Application/Dairy Products,6/30/81,1981,20,Nestle Sa
US4278597,soy/solubilize,7/14/81,1981,20,Nestle Sa
US4279939,Application/Dairy Products,7/21/81,1981,20,Nestle Sa
US4298628,,11/3/81,1981,0,"Fuji Oil Co., Ltd."
US4304768,application/pasta,12/8/81,1981,40,"Mondelez International, Inc."
US4308294,application/infant,12/29/81,1981,70,"Mondelez International, Inc."
US4312891,application/confection,1/26/82,1982,50,"Mondelez International, Inc."
US4315946,soy/solubilize,2/16/82,1982,0,"Mondelez International, Inc."
US4324805,soy/deflavor,4/13/82,1982,50,Novo Nordisk Fonden
US4324807,Application/Meat Products,4/13/82,1982,40,"Mondelez International, Inc."
US4332823,Application/Meat Products,6/1/82,1982,50,Nestle Sa
US4362755,,12/7/82,1982,30,"Mondelez International, Inc."
US4371558,Application/Meat Products,2/1/83,1983,20,Nestle Sa
US4378376,Application/Dairy Products,3/29/83,1983,30,Nestle Sa
US4378377,soy/deflavor,3/29/83,1983,20,"General Mills, Inc."
US4379782,,4/12/83,1983,40,"Mondelez International, Inc."
US4391835,,7/5/83,1983,10,"Fuji Oil Co., Ltd."
US4411926,,10/25/83,1983,20,"Mondelez International, Inc."
US4423083,soy/texture,12/27/83,1983,60,"Mondelez International, Inc."
US4431629,soy/deflavor,2/14/84,1984,60,Novo Nordisk Fonden
US4440798,soy/solubilize,4/3/84,1984,10,"Mondelez International, Inc."
US4447461,,5/8/84,1984,20,The Procter & Gamble Company
US4460613,Application/Dairy Products,7/17/84,1984,20,Nestle Sa
US4464407,,8/7/84,1984,0,Nestle Sa
US4465699,soy/deflavor,8/14/84,1984,50,Nestle Sa
US4478854,Application/Meat Products,10/23/84,1984,20,Novo Nordisk Fonden
US4478856,Application/Meat Products,10/23/84,1984,0,Novo Nordisk Fonden
US4478939,soy/solubilize,10/23/84,1984,30,Novo Nordisk Fonden
US4478940,soy/solubilize,10/23/84,1984,10,Novo Nordisk Fonden
US4483874,Application/Meat Products,11/20/84,1984,10,Novo Nordisk Fonden
US4483875,soy/deflavor,11/20/84,1984,10,Novo Nordisk Fonden
US4486342,,12/4/84,1984,0,Archer Daniels Midland Company
US4495205,,1/22/85,1985,40,"Mondelez International, Inc."
US4534982,Application/Dairy Products,8/13/85,1985,50,"Fuji Oil Co., Ltd."
US4534990,application/confection,8/13/85,1985,60,"Mondelez International, Inc."
US4536406,,8/20/85,1985,10,"Mondelez International, Inc."
US4537783,soy/texture,8/27/85,1985,30,The Procter & Gamble Company
US4543262,Application/Athletic,9/24/85,1985,50,"Mondelez International, Inc."
US4546001,application/confection,10/8/85,1985,50,"Mondelez International, Inc."
US4548823,soy/texture,10/22/85,1985,30,"Mondelez International, Inc."
US4551274,,11/5/85,1985,20,Nestle Sa
US4554166,soy/texture,11/19/85,1985,20,"Mondelez International, Inc."
US4556569,Application/Dairy Products,12/3/85,1985,10,"Mondelez International, Inc."
US4556570,,12/3/85,1985,0,"Mondelez International, Inc."
US4560560,Application/Athletic,12/24/85,1985,0,"Fuji Oil Co., Ltd."
US4560564,application/soy sauce,12/24/85,1985,40,The Procter & Gamble Company
US4563360,,1/7/86,1986,60,"Mondelez International, Inc."
US4563362,Application/Meat Products,1/7/86,1986,30,"Mondelez International, Inc."
US4615900,soy/deflavor,10/7/86,1986,30,"Mondelez International, Inc."
US4632903,,12/30/86,1986,20,Novo Nordisk Fonden
US4640837,,2/3/87,1987,60,"Mondelez International, Inc."
US4642236,,2/10/87,1987,40,Nestle Sa
US4642238,,2/10/87,1987,50,Nestle Sa
US4670268,application/infant,6/2/87,1987,40,Abbott Laboratories
US4684527,application/soy sauce,8/4/87,1987,20,Kikkoman Corporation
US4689238,soy/deflavor,8/25/87,1987,50,"Pepsico, Inc."
US4722846,application/soy sauce,2/2/88,1988,40,Kikkoman Corporation
US4755393,Application/Meat Products,7/5/88,1988,20,"Ajinomoto Co., Inc."
US4781939,Application/Meat Products,11/1/88,1988,50,Nestle Sa
US4784860,soy/solubilize,11/15/88,1988,50,Novo Nordisk Fonden
US4789664,application/infant,12/6/88,1988,70,The Procter & Gamble Company
US4790996,,12/13/88,1988,60,"Mondelez International, Inc."
US4800099,Application/Meat Products,1/24/89,1989,80,"Mondelez International, Inc."
US4832962,application/confection,5/23/89,1989,0,"Mondelez International, Inc."
US4832971,Application/Athletic,5/23/89,1989,70,"Mondelez International, Inc."
US4834989,application/pasta,5/30/89,1989,40,"Mondelez International, Inc."
US4851241,application/soy sauce,7/25/89,1989,10,Kikkoman Corporation
US4865865,,9/12/89,1989,0,"Fuji Oil Co., Ltd."
US4868002,Application/Meat Products,9/19/89,1989,70,"Mondelez International, Inc."
US4876102,,10/24/89,1989,70,The Procter & Gamble Company
US4882187,Application/Dairy Products,11/21/89,1989,70,Unilever N.v.
US4885179,soy/texture,12/5/89,1989,20,"Mondelez International, Inc."
US4906489,Application/Dairy Products,3/6/90,1990,10,"Mondelez International, Inc."
US4921877,application/infant,5/1/90,1990,50,Abbott Laboratories
US4923708,application/infant,5/8/90,1990,60,"Mondelez International, Inc."
US4926747,application/soy sauce,5/22/90,1990,0,Kikkoman Corporation
US4927661,Application/Meat Products,5/22/90,1990,50,Unilever N.v.
US4940600,Application/Dairy Products,7/10/90,1990,20,"Fuji Oil Co., Ltd."
US4943441,soy/texture,7/24/90,1990,70,Nestle Sa
US4956193,,9/11/90,1990,60,Unilever N.v.
US4961788,soy/texture,10/9/90,1990,40,"Protein Polymer Technologies, Inc."
US5021245,application/infant,6/4/91,1991,50,Abbott Laboratories
